variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
11,0.26366327946120205,0.054150399973074075,-0.01037031961757639,0.13765166093115802,-0.10109148727977854,0.01505298727603182,-0.03537857488992084,0.00858127413918735,0.01097311797228814,0.0009168170894203383,-0.17167532438334304,0.2504739854076058,-0.05632654153272309,0.30733874655087845,-0.06679556123963284,0.057233718472198686,0.040284232383973634,-0.0623919648953793,0.09888552254314709,-0.10467084800792831,0.8145527185026926,-0.06970336552736824,0.018229147139696568,-0.06322812559531388,-0.009476867203397658
13,-0.014883874517956738,0.04667189561841198,0.050775674424841266,0.09779162206365025,0.029438728216795496,0.7430740663455663,0.6076019800667012,0.17296355746918687,0.17202709324529664,0.01131562923582597,0.0401232593779049,0.04120552315469249,-0.006505791300154693,-0.015626525252324365,0.0028575640754798823,0.0026721190947960357,-0.0002207623229917181,-0.0014171916115866769,-0.0015947321249226766,6.298125200130741e-05,-0.0006451811934192254,0.000347739764273701,-3.1469576925004704e-05,-0.0006863695493849528,1.8697459688467536e-05
14,-0.005987426260443693,0.02317448677009357,0.008374371283818419,-0.07142872392043412,0.17020808583653455,0.6413553586472708,-0.7071532280153034,-0.21319620973360343,-0.06987593642445246,0.04722415183291198,0.02998139139206076,0.014167510464637925,0.011355063296187653,-0.008512003789797206,-0.0011968180082584257,-0.0030274793007147942,-0.0015875030358606884,0.000853002782221472,-2.4717413311237375e-05,-0.0009184962914298155,0.00042295186692482107,0.0003075333002932058,2.102907130045378e-05,0.0004222375479266339,-0.0004447744691203606
16,-0.24559280381105392,-0.05177528092121211,-0.031317117921980886,0.20547584308744454,0.2485576033591894,-0.03457176722388008,-0.03321171832825284,0.15403076924827752,0.0017967563910832513,-0.009071349428499012,-0.0374033758993355,0.05676347706644197,0.3724202907639984,0.22324367917298646,-0.5198332558513582,-0.5828152785718573,-0.037367592939568414,-0.021203326690591152,-0.0219587306183965,-0.008923201119329274,-0.009316946594483063,-0.015097126312557236,-0.001120363577099677,-0.00519366711773434,-0.010278202407179337
17,0.2393049901909744,0.20659653211226495,0.008812626777842052,-0.21825325941517842,-0.12812854376647886,0.002571092454072261,0.04774381226194532,-0.13700837892637455,0.0012575599938676868,0.00418596683490159,0.10937567901570468,0.1091290791764352,-0.2680331328209583,-0.16416969058734243,-0.07959739772764433,-0.4510655242046362,-0.2914351357730465,0.6087694096572709,-0.11858188408588698,0.08169548284682775,0.0764306803272327,-0.010815447129037207,0.009322443014083323,0.003833310866057411,-0.007298852044148563
18,-0.0021092400389045624,-0.26716245623291845,-0.011016382140049946,-0.20819377435525896,0.3879999403659607,-0.09829200247224305,0.02280091272693719,-0.2919304077958946,0.7603057916654036,-0.027803405009022307,-0.14779987182657714,0.16856066285415172,-0.08041006522918677,0.03248421666503371,0.0489138987708602,-0.009874762795562583,0.006830003407541745,0.0020500137116727666,0.0030792791661427487,0.004909593340166967,0.0011440822990876525,-0.002710052742467808,-0.0023428512832561785,0.0003967939274807843,5.1596898439480654e-05
19,-0.06592883020269942,-0.16082383697371533,0.012687111160351853,-0.5092072399594432,0.399748284843926,0.030459961019562467,0.21563547291360585,-0.03383812828581621,-0.5444174543766318,-0.03451438131087539,-0.35937975929397586,0.14256913154817913,-0.15154265478195583,0.15164391698690083,0.04153698822241202,-0.033793745848866234,0.06761268235733117,-0.023011566080631214,-0.021924619230262107,0.021677460375881225,0.003214465615198299,-0.00024807860779112954,0.0005300812721929867,-0.0003413894944432832,0.003709706406585044
20,0.2606340979180987,-0.15531396454523938,0.008359148533774478,-0.0625433734731317,0.06179688960978492,0.010430045976425061,0.02262710934089006,-0.002105674822580655,0.0007067907666996511,0.004855538043971547,0.061896586537828396,-0.2346330219175342,0.006993425962908525,-0.1202268886884615,-0.5373668679851066,0.27760702385277836,0.561681304239267,0.2874258490300604,-0.2436491792359371,0.03156628600997987,0.04059161759957023,0.00545071085893256,0.011941134971097358,-0.000564764121047829,-0.000727420400947958
21,0.2489079128286343,-0.21219379719040057,-0.002120359250586494,0.019277661488700942,0.15173672595861645,0.010416040304594289,0.015668280702186326,0.05633607617376414,-0.04105004292484324,-0.003428967956337942,-0.039129124313937065,-0.2569379972793418,0.032337588640403155,0.03810070362307249,-0.3101078752491259,0.34130382549350513,-0.7537017014795323,-0.0688537399073271,-0.08284862160026925,0.04079008354358973,0.006545870269861171,0.010080822249205345,0.012406886876692377,6.241495295213563e-05,-0.007736526637986939
22,0.19516949230750905,-0.018807909795910144,0.03009405684028487,-0.4703838588569517,-0.23254158222418947,0.03510011405165369,0.0918064959078252,-0.18279838521403685,0.023776228496242526,-0.002034975347242209,0.2644494365713984,-0.02666637367572661,0.6791633119343803,0.30233388570963027,0.13159960460799755,0.010801712000534916,-0.01001247581164155,0.01596513307574817,-0.022516121877985924,0.0026756323148065487,0.00598582169773639,0.0025935255915629416,-0.0019802004137433995,9.556235201680854e-05,0.001922138816764688
23,-0.020432798193563712,-0.09125123693087904,-0.02365061072742356,0.4243061598687631,0.05928275859134561,-0.0020024103170301942,0.2421157335251609,-0.8246167996690894,-0.24430682936339376,-0.0024224637826770774,0.07244238280966042,-0.03777368486617432,0.0416858739867888,0.0032469444101394817,0.00038161545222160193,-0.02019879641054531,0.0004017238129646298,-0.0017723661398161728,-0.0003358792424854434,-0.0013264148590006741,0.00032319496223781217,0.0007846583616516861,0.00046491536697863725,5.880396902387624e-06,-0.0005880235476576718
24,0.2512206384032244,-0.029365325407173543,-0.0037769798686568584,0.09044342988309281,-0.037683278152362484,0.015811927271196128,-0.01101950018421135,0.015422358871639537,-0.03879445504582749,-0.025629828896203,-0.5028878333147612,0.2419994272874507,0.4568391384010096,-0.6307573742051131,0.06371528914981317,-0.03207886536995917,-0.017842769943720024,-0.00841307585870725,-0.010530643548335217,0.005805331957924526,-0.0008336368725209825,-9.646126087900434e-05,-0.00031224964710294725,0.0001479461081376926,-0.0005923552961443154
25,0.08321589128793876,0.5146426479167002,-0.040523717440787414,-0.019346735918140467,0.06015925302240241,0.011024242258141028,0.024556404847226803,-0.1060453650835916,0.13676235086234334,-0.017340105256429893,-0.4915786696963369,-0.6288566824687798,0.03467650901504554,0.18062126265881767,0.08194965073919544,-0.10336140594737839,0.05075505300680821,-0.00249018533816838,-0.0115669255174134,-0.010384194390273063,-0.01397775578284307,0.01553583347802169,0.002309299774490278,0.002092747756883891,-0.0010820017675168094
26,-0.1805556798695872,-0.37410273077727924,0.05734269966963971,-0.04496200757127463,-0.34272879629871195,0.08165991827355612,-0.021114174258264982,-0.031325552024608544,0.02064243293725157,0.0019496584759345979,-0.24553203472686022,-0.17936551046648685,-0.017605439147063726,0.050094543129579124,-0.11054724769052927,-0.0030089770010218284,0.008243241417586327,0.26929067359052894,0.6677130525668934,0.2568538091632122,-0.0014625515657237444,0.04113399935230001,-0.04633197031938429,0.010892299730128455,-0.016794661730480106
27,-0.07539374306212013,-0.4727375332524007,0.06811802608816604,-0.01504863674671586,-0.4638740701086495,0.09970821798499614,-0.044553299281839064,-0.02686033489137261,0.03635408320269134,0.007596264467757147,-0.24429847581725897,-0.16187504538530542,-0.14376047117040375,0.07731071834682039,0.08737179471397108,-0.25489494607609026,-0.00995604549800684,-0.1536150989349087,-0.5440717978078192,-0.17296075935269942,0.013312996527353486,0.0018560663559640154,0.040183347687629635,-0.007341069629698415,0.01231675686036015
