turbine,variable,count,mean,std,min,25%,50%,75%,max,range
No.2WT,1,1570.0,-0.0074363069732484065,0.04551920962978455,-0.160517901,-0.042804774,-0.010701193,0.021402387,0.117713131,0.278231032
No.2WT,2,1570.0,-0.011617012629936306,0.07393422322168186,-0.238556251,-0.065060794,-0.010843466,0.043373864,0.249399722,0.487955973
No.2WT,3,1570.0,26.311611052057323,1.4622011956180987,23.30022049,25.00022697,26.90021324,27.60026932,27.70029831,4.40007782
No.2WT,4,1570.0,29.2802896403758,1.6316581986152805,25.74820328,28.10027695,29.80032349,30.70035744,31.00039101,5.252187730000003
No.2WT,5,1570.0,315.30957773840765,117.13573319927298,96.32297516,198.1481056,316.2068329,425.548301725,516.9232788,420.60030364000005
No.2WT,6,1570.0,41.043635452184716,2.288937294874569,36.4981308,39.006883619999996,41.79811859,43.188135145000004,43.59815598,7.100025180000003
No.2WT,7,1570.0,40.906245079624206,2.2389210261255514,36.49592972,38.902282715,41.59571457,43.009490015,43.49568176,6.999752039999997
No.2WT,8,1570.0,41.079840469579615,2.2330440459400163,36.59460449,39.0947465925,41.794914245,43.115408895,43.53083038,6.936225889999996
No.2WT,9,1570.0,23574828.593630575,397.96146635551,23574057.0,23574489.0,23574923.0,23575179.0,23575361.0,1304.0
No.2WT,10,1570.0,320.6220291670064,117.09074774103522,103.6142883,203.18634035,321.1930237,431.056098925,523.1901855,419.5758972
No.2WT,11,1570.0,1320.3418102592357,146.66087866959765,1061.598389,1172.68942225,1326.3532715000001,1462.0410765,1555.433105,493.83471600000007
No.2WT,12,1570.0,1750.0,0.0,1750.0,1750.0,1750.0,1750.0,1750.0,0.0
No.2WT,13,1570.0,0.011045836745859875,0.014363661198661322,0.010393679,0.010393679,0.010393679,0.010393715,0.48396033,0.473566651
No.2WT,14,1570.0,-0.7541401273885351,1.5969014949053155,-6.0,-2.0,-1.0,0.0,4.0,10.0
No.2WT,15,1570.0,849.0,0.0,849.0,849.0,849.0,849.0,849.0,0.0
No.2WT,16,1570.0,223.6840952199363,15.406611267333155,200.8275146,212.394043,227.8347778,234.1609955,263.6973267,62.86981210000002
No.2WT,17,1570.0,9.043332314446497,1.4408967269969744,6.973917484,7.599900723,8.899900436,10.09989738,11.89989281,4.9259753260000005
No.2WT,18,1570.0,685.09100645,2.1487577017963586,678.0762329,683.7693481,685.2675171,686.4661255,697.8522339,19.77600099999995
No.2WT,19,1570.0,50.002318437490445,0.04538752323728317,49.90999985,49.95999908,50.02000046,50.04000092,50.08000183,0.1700019800000021
No.2WT,20,1570.0,17.62321287711465,0.3024499702085277,16.90044212,17.35846376,17.80043411,17.8004641525,17.97442245,1.0739803299999977
No.2WT,21,1570.0,22.91180506635032,0.2864152189823179,22.1996727,22.646198745,23.038644795,23.09968758,23.2016716,1.0019989000000002
No.2WT,22,1570.0,10.735649389745221,0.21972810598493378,10.39998627,10.69999218,10.69999409,10.69999695,11.10000038,0.7000141100000015
No.2WT,23,1570.0,5.1642737676955415,4.674216459433938,-10.76705933,2.0555959345,5.2217862605,8.229087591499999,18.36361313,29.13067246
No.2WT,24,1570.0,5.4797616466617844,0.7836901355653124,3.405390978,4.815130234,5.632003784,6.1020656825,7.370210171,3.9648191930000003
No.2WT,25,1570.0,16.922765954356052,2.5627279866246244,9.208575249,14.973872182500001,16.794665334999998,18.49472427,24.6065731,15.397997850999998
No.2WT,26,1570.0,53.21139495519109,3.145335022748197,49.60438156,51.00427246,51.50422287,56.10354614,60.00289154,10.39850998
No.2WT,27,1570.0,59.82228279119746,1.9001045146874496,56.00018311,58.59968185,59.4996109,61.4992981,63.95384598,7.953662869999995
No.2WT,28,1570.0,60.62561201117835,2.5904963590312957,55.0970993,58.79661942,59.99641037,63.59560394,65.59555817,10.49845887
No.3,1,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No.3,2,698.0,49.985787956475654,0.030212425957524786,49.93000031,49.95999908,49.97999954,50.00999832,50.06000137,0.130001060000005
No.3,3,698.0,0.04419295899999998,1.3887739611035176e-17,0.044192959,0.044192959,0.044192959,0.044192959,0.044192959,0.0
No.3,4,698.0,13.457008962904009,10.42573212392392,-9.162272453,4.8174641135,13.155709739999999,21.0407581375,45.6687088,54.830981253
No.3,5,698.0,12.315186246418339,1.8751026851988997,12.0,12.0,12.0,12.0,28.0,16.0
No.3,6,698.0,67.30902615353583,126.47913224337513,0.797363281,8.454681396,16.588363649999998,21.49942017,359.4242249,358.626861619
No.3,7,698.0,88.99268729330947,0.0009053153287362629,88.96880341,88.99272156,88.99272156,88.99272156,88.99272156,0.023918150000000082
No.3,8,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No.3,9,698.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0
No.3,10,698.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,0.0
No.3,11,698.0,-0.009835707227793696,0.030756848620478762,-0.268351406,-0.022362618,-0.011181309,0.0,0.245988801,0.514340207
