observation,PC1,PC2,PC3,PC4,PC5
1,2.230410346634842,1.9783235201554201,-1.6369701605829299,-3.3465776587692324,-0.45880659388574435
2,2.0595283548013295,1.814619005631988,-0.585119257834837,-2.393257756615376,-0.3844366324686749
3,2.2577384337983646,1.768721121942042,-2.0755812481138407,-2.6159926656083483,-0.602478384267068
4,2.1790684566224368,2.0558849660781977,1.5236649743229724,-2.645189798631153,0.042192120992519073
5,2.012862698058424,2.0841683145252756,1.2743062314259272,-3.276109911739807,-0.22087325749592265
6,2.07996050272849,1.8097180638968007,-1.5396314967612095,-2.6882180775886195,-0.42984996802479725
7,1.8157242680636103,2.0654534126746995,-1.6501608732510389,-4.176326251867502,-0.1926080864422804
8,2.131377057837046,2.010325508713077,-1.750932027829022,-3.7069298694208297,-0.468115643274007
9,2.215886431515333,2.143428472869255,2.5223704550092356,-2.9516361379858314,0.06228359256301735
10,2.1172189517437014,1.8957857939805967,-0.413739843151333,-2.9804631239192236,-0.32158350419340775
11,1.9079872097352706,1.7966168134575455,-1.855737518433736,-3.08441094543247,-0.2216151878932358
12,1.9277987564699317,1.83989288581218,-1.2278540412496657,-3.329260007370687,-0.08178274944218794
13,1.9618262848146677,1.9795754737041877,-1.2134403795791895,-3.064178723896076,-0.4333186681755851
14,2.143997105456899,2.1425701922811524,2.246660988621711,-2.988986602867016,-0.39888158896498277
15,2.162321741165014,2.208927791170721,0.987619353126301,-3.553179361362609,-0.26078773722118176
16,1.951614436511052,1.993601133414227,0.4187588363150532,-3.0646419695912495,-0.24073828453956791
17,2.119426250028209,2.106967372055176,1.5033401292605648,-3.1489018225711134,0.007482526124316326
18,2.002781949887579,2.0432389216732716,-0.8201015850628127,-3.3611066155386693,-0.31595602444759985
19,2.042355579714804,2.2349814410416338,1.781376109461844,-3.405337755385158,-0.11772699797042545
20,1.8833498102415396,1.8469132398990056,-0.9710320571083766,-2.6013675207700864,0.01298995402402868
21,2.1074790425659478,2.3229358379089025,0.9773755229395674,-4.031386315782805,0.0750900698741952
22,2.179515423436549,2.2186307695955643,0.9030786186124509,-3.8833714307068443,0.16142068994591371
23,2.039573856596586,2.0800968847632952,0.7920248695913523,-3.0901348735710994,-0.12153359107183759
24,1.9662765972408778,2.005086307014516,-0.46220248531512226,-3.13528018559753,0.05197864732123391
25,2.131772191050111,2.0263711133717175,1.2292904825910846,-2.4223835372769043,-0.2155748314702664
26,2.021753995503064,2.2900810330536516,2.160253878274399,-3.5581541190889694,0.05402065757239795
27,2.249002513432638,2.0510336202320025,-2.0402539334018446,-3.7220056619542357,-0.2025565363338982
28,2.1541859887860997,1.8087912370915233,-1.0633903948181802,-2.5549662724235995,-0.3722659428030231
29,2.0218331518566073,1.69394751387867,-1.3196262067870472,-2.6106204669924176,-0.05316261476020169
30,2.1743530280404646,1.9764491199533034,1.5949608154251278,-3.3758959493128575,0.37187082859835247
31,2.1272522855192015,1.8149994221610033,-0.6112767983589218,-2.534154750800214,-0.03124777296541306
32,2.1587925130693124,1.8604695819176909,-1.6229642902785357,-3.160927803501747,0.06646304322550597
33,2.167612270916502,1.9859200292070327,1.160581781751825,-3.1627239084089873,0.20880224923770319
34,2.2813924306037547,1.96055298491145,0.8904244720911636,-2.900524265462622,-0.4873451761950185
35,2.035749178185353,1.8223313610263931,-1.1053309843050132,-3.020280892417118,-0.2765876616446101
36,2.281258102739286,1.8820452946735826,0.8302131620872033,-2.8025589855590507,0.23186662355492182
37,2.008461047474946,1.6413849458774674,-1.804043400730559,-2.320321787692344,-0.10325248001828809
38,2.1819864970226983,1.8544575984711398,-1.7903609639671512,-3.169282356392385,-0.333996112009392
39,2.0869869245847448,1.7505610730130112,-1.9055381688873956,-2.8253193635866833,0.227951024743347
40,2.362784226070807,2.106719696331024,1.9459230832981054,-3.2015563249839256,-0.10028389130247589
41,2.2342035098403725,2.0320843920343323,-0.2777686622560477,-3.7205591729629757,0.04290601804037429
42,2.43087501370406,1.9476070403766486,-0.12098360689148077,-3.2279337867687095,-0.3242784189499063
43,2.216159314411362,1.939512357589985,1.508962683202847,-2.9904390449077773,0.12854450092578998
44,2.3059424604423526,1.7567293915252549,-1.471594759845154,-2.667305040319729,-0.24012323487706486
45,2.43267616114159,1.7561064450177757,2.129234420042908,-2.6947901574543947,0.6016986788816987
46,2.350864697545881,1.675010234566184,-0.455491504385178,-2.9797374681159203,0.2157653964450587
47,2.230870246814297,1.817931523258786,1.658307710490065,-2.5158805458623252,0.5194892662673427
48,2.2998431403430253,1.4756441120126758,-1.7393462793062324,-2.609236198829971,0.06863694565351
49,2.1975781879321112,1.8581807137747566,1.6892936796868523,-3.253093166689134,0.49007213028906127
50,2.337226139796606,1.529407942910013,-1.247296286840315,-2.335723244954197,0.13583989118641862
51,2.2920027811372603,1.8004531286424854,2.6233929459354703,-1.9618920348605977,0.44393724154492226
52,2.3583490858847753,1.8069686470672761,2.0647158133281525,-2.7785421515472906,0.44228799193120943
53,2.1739447314543945,1.9610677364694171,1.2264284085776302,-3.5937062343606265,0.24081321929790186
54,2.328921942891807,1.8706851546159287,2.3624040952299454,-2.7610575743004273,0.46010909786932797
55,2.2431816296154805,1.5645517012681494,-2.0041788445709168,-3.0235937339628456,-0.055692849207562845
56,2.4148765991917704,1.7041348425974074,0.7919156849637695,-2.7899867943915386,-0.002696518633701237
57,2.2135377186377703,1.833898991546829,0.9762958462979026,-2.5185485355151203,0.25815742105594497
58,2.2126346612219416,1.7310304210566525,-1.6439943417537248,-3.3772931875901033,-0.06848646535526906
59,2.2857257752912545,1.4497461764591406,0.6123322351855872,-1.903998113860463,0.04986740292676631
60,2.2327584947723578,1.6972264857673092,0.9981255133661691,-2.697706261868227,0.4021448333112526
61,2.3283121953045014,1.679511533688214,2.598833854387575,-2.115590850758804,0.41788756224264945
62,2.1828182849266105,1.4811218163954922,1.207226622088595,-2.628126752063295,0.4435446018018812
63,2.298953189731393,1.401759773713365,-1.9812968324229807,-3.1011106630640763,0.015294854782240831
64,2.2635148088250285,1.423618139395506,1.5200071182288286,-2.372937437929982,0.24937343727107444
65,2.2958639194817887,1.141700314295148,-1.6918671403417167,-2.400347323783872,0.4348242424809622
66,2.2686003538939326,1.192960085032281,-2.019822760576106,-2.5311869498424073,0.13175583190230852
67,2.419073618657174,1.5265152735911904,2.030393625861216,-2.112938398869865,0.1314528704896626
68,2.347831340901823,1.4745055324381406,1.0838937334810637,-1.9556024443805036,0.3706270090597988
69,2.267462613722507,1.2515989463862793,-1.0226368937620967,-2.6371364483503834,0.30876704746883227
70,2.500636900974574,1.2799842435345627,2.2189409227563983,-2.0000589369163975,0.5377472638375648
71,2.358417790817302,1.2275906740440736,-0.7198196484901919,-2.9277371158496024,0.35838451802190424
72,2.4631863880046083,1.4053636641266105,-1.580191593105602,-2.5181580955461067,0.2326845290557819
73,2.5142222751927576,1.6032225374208218,1.1742338428737327,-2.7062224320426886,0.32473102004157073
74,2.1926677149679756,1.2678581968879035,-0.8664279611269212,-2.4012929872154904,0.6435209940933366
75,2.4079075606393623,1.592660932246434,2.6809002833817166,-2.2685097081510004,0.6366026837538462
76,2.4313052621623936,1.6180766339362702,1.8332505148549363,-2.6878068572229306,0.41043818516376207
77,2.390772518212686,1.323534276305707,-1.6851428216654727,-2.2550496322117772,-0.49696931112696296
78,2.4323698984170203,1.1845695196405746,-1.1271453826971725,-2.251771129688142,0.2350506870593729
79,2.472827446010994,1.0836000980945677,-1.9319120178380258,-2.2175878282086874,0.45423050764526623
80,2.346620198780508,1.0997066197422254,-0.147192652106267,-1.836353536900157,0.35579548698133273
81,2.3688451222267117,1.1176591605327129,-1.832014342207453,-2.1894562186424635,0.1705392665937325
82,2.568225153207959,1.2939733610991317,2.172248144263113,-2.0513437024444725,0.5089721299162967
83,2.51764062180871,1.217672108726127,-2.4183395672123895,-2.657564183578077,0.10707470319269743
84,2.6905511565494775,1.248645180906548,-0.17414678581064358,-1.963665908553544,-0.1924376064787963
85,2.4653678880213503,1.4402703973363389,1.9174603663244896,-1.9322670008217413,0.3151862284831479
86,2.4698520793682905,1.2173910264104082,-0.10475828763536425,-1.9810225689136527,0.23361343479596958
87,2.6662545507593833,1.5547400640716622,1.544588890968948,-2.5662000304026913,0.24667319138712396
88,2.6696802240720907,1.21443619127484,-1.3353311395603054,-2.5494359311541404,0.09556701573720719
89,2.586864868096634,1.3218500459235254,1.150922671632585,-2.466556528218694,0.5320722816581622
90,2.6922535750519723,1.2669263923486371,-0.08169375268050402,-1.9349829098239566,-0.17047354298688608
91,2.7981455706340856,0.9660151904562002,-1.744412337631055,-1.9002057659752052,0.036226564487387015
92,2.710049723222878,1.3897772029393631,1.1723211047792979,-1.9977564415248923,0.4799555428908953
93,2.7582477180542835,1.0563592055143918,0.15305723159348505,-1.8279405125884212,0.30960144210903123
94,2.9865987061687336,1.3309323837202796,1.0080706260652468,-1.9591712586799501,0.12045778761066084
95,2.8328098208614403,1.3196776791013343,0.7615179635788701,-2.235128224886618,-0.17156126885890938
96,3.0878721893097376,1.0576915235736173,0.21624977634648862,-1.447972875612959,-0.2009987682431524
97,3.098267997972145,1.2047084493929112,-0.2184284425699356,-2.0620464563087784,-0.2678562111372831
98,2.917770830973524,1.180066355442404,-0.02583006025836593,-1.7078100565125858,-0.11530922092002074
99,2.93811805884074,1.4098007962651569,1.0250914500903467,-2.4095412638578053,-0.1481206997054901
100,2.91252846892655,1.2591304214269183,0.5082677045819074,-1.7100722166023807,-0.23036736050540838
101,3.097385867521589,1.2746215124483693,-1.3321919052093174,-2.080281447713756,-0.42010618119999854
102,3.1956182827688853,1.4954953288902018,1.2770679175641955,-2.138703488277822,-0.1841891341040005
103,3.132369036808663,1.4190263478217913,0.4007254889258115,-1.5576734247474266,-0.6783102520388944
104,3.2640291848073213,1.5304756020213235,0.33115532257732516,-2.1581103649982736,-1.0357985050484428
105,3.235373232429231,1.363571461234812,0.25473338148595803,-1.4622683097965623,-0.6865662228237481
106,3.259577765862858,2.249755646602372,0.023371078589031646,-2.0450729392691778,-1.7767684826680736
107,3.0737597259732463,2.0228045751987116,0.3300734358809439,-1.2834359814404974,-1.2659549986791918
108,3.0811078696920218,1.97448841163877,0.526521182605757,-1.3593758415220456,-1.6378900872140698
109,3.3090658536872373,1.9820985597417564,1.0285714434879427,-1.2578965633040882,-1.3203381170001882
110,3.179089684216727,1.8948555508656257,1.0666244645133256,-1.4375574059666185,-1.3998626931605582
111,3.0750983548428383,1.9589739768405134,-0.7220647461101998,-1.9107566354603809,-1.2485076657667833
112,3.1988521321407926,1.9654138729375636,1.071728097851738,-1.4436578092202388,-1.634831140957638
113,2.9686435370034254,2.103941226586775,1.2563258136326394,-2.1493076087649676,-1.5270348716117204
114,3.0020438869428743,1.9135696178340456,0.18186819594525885,-1.0921406584524798,-1.2798716663167164
115,2.9415749638999,2.0841237753289605,0.001071893144281422,-2.0555120691273587,-1.5854287365260407
116,3.2398748722540853,1.8509745855400763,-0.7420865916909823,-0.8926520404082323,-1.8855090615856323
117,3.2263126916784324,1.781431876983447,-0.08531902110926923,-0.7541142804157853,-1.2354211433727422
118,3.1745439163897764,1.8076096158192558,-0.16109291984569415,-1.2246672174639823,-1.774271458077176
119,3.104617704511786,1.5146187211665905,0.8284256490472479,-1.0526017237324812,-0.9199313569337378
120,3.2433411379852086,1.4902720807549943,0.021963047346744726,-1.1740273682062603,-1.3716834046797681
121,3.250031041181858,1.731643834086893,0.003600729238521051,-1.8934242787502935,-1.0567189109788568
122,3.240530112389486,1.5645904915681654,-0.4061322305021558,-1.1357661566135528,-1.0337624883168142
123,3.2366957500697713,1.6604274634742817,-0.09911624425662169,-1.0685933726989443,-1.5165166868153819
124,3.146537156759118,1.6288739369386454,0.0672069361512115,-1.853936921451817,-0.8574590796073587
125,3.0846738610073703,1.641963967712652,0.6283107449172611,-1.6540170528587643,-1.1472896434850548
126,3.1931917591105448,1.6751804395318737,1.1984093629521688,-1.8010378188708418,-0.877326199831671
127,3.1261364292652067,1.6499529417358343,0.06679743243934577,-1.8979879866765803,-1.2860760191824574
128,3.229896272117451,1.6604722969344818,2.20030090826084,-2.1456503720103073,-0.680896568809838
129,2.974456908249357,1.301456929192019,-0.9591075461300373,-1.9977754947763737,-0.9059129463507729
130,3.1186233189149264,1.4046708435349695,0.7502449475514039,-1.4059875679482787,-0.7676348089565667
131,3.2147147021406304,1.568368413116251,0.7347511459301681,-1.7882632976545791,-1.077312640332582
132,3.0798156146469995,1.499138391876608,-0.5182387150612621,-1.690003523193064,-0.8151193699993614
133,3.087219493521285,1.5399362907821,-0.016071565416554058,-1.5392903812429555,-1.178601838137263
134,3.105843622968543,1.276890833302796,-1.327058223048534,-1.4823284436888875,-1.0618001936052843
135,3.102431122335596,1.3866309530415164,0.8171266962032269,-1.527309205509906,-0.8261160109319551
136,3.051464418738562,1.4313979841456754,0.6166145200673726,-1.5781080922622575,-0.9395369825043386
137,3.238857740403093,1.0005385343130577,-1.2976831228615393,-2.104535437165187,-0.2506691805661213
138,3.1205774490817073,1.1213307810915476,0.34371698860305905,-2.1257106725096975,-0.5956237135867157
139,3.1857401102077194,1.1302166204650006,0.3668379669103184,-1.5200308916082692,-0.6170690185820865
140,3.1143218277847224,1.2175020602981224,1.2250261976700514,-2.361344459606847,-0.5311730028987481
141,3.229726970860138,1.1156752416145572,0.3185538498015498,-1.541762221518376,-0.8259196018325389
142,3.1704989143968265,1.2470531592239529,0.6819652057023272,-1.8364478495723655,-1.2457814233594422
143,3.27146262054669,1.335369080384045,1.2948218952449528,-1.4194427848572135,-0.9852993706937934
144,3.118693505860219,0.9832943423795437,-0.7760460349038735,-1.1035433083968917,-1.0288863942946658
145,3.1753773822946405,1.0677693123125935,1.595812632558214,-1.4219695013872982,0.027664216123845713
146,3.246736174354641,0.975053664743804,-0.3254576120474031,-1.7960865789799036,-0.43190943362871315
147,3.35682299554393,0.9726673758695952,-0.6083224162456442,-2.171211203705334,-0.7746809985432379
148,3.271707739168474,0.9775092119367119,0.3653907428222784,-1.7009693527435932,-0.31584272070471797
149,3.375130574365835,0.8412534321225045,-0.6424962629248404,-2.397020225548339,-0.08938402552335775
150,3.2809957961175065,1.1944275216516054,-0.18837968903361255,-1.820707978527199,-0.6778307162198655
151,3.36184019998043,1.322384600277976,1.9267653785334193,-1.6000557434467289,-0.7099501897239094
152,3.4110465689416856,1.2585658273654803,0.644574851239842,-1.440576946847963,-0.4722583139184865
153,3.4704769344200557,1.1735763321074766,-0.9254106544762921,-1.4930764334443674,-0.9700125923365317
154,3.581312517146807,1.3270368822998782,-0.5538785354122936,-1.2445966094428274,-1.2091580380906546
155,3.3197789467334466,1.1111982606447592,-1.3388984539886148,-1.6085670391457636,-1.171933091146298
156,3.5178607000936815,0.9847337200319579,1.117730159198897,-1.471028208323255,-0.6055147968980782
157,3.5088855271412878,1.001923848963287,0.7127628005934644,-1.8197933699436366,-0.02286862262727447
158,3.445921488841698,1.1723690891038887,0.9065721834539933,-1.3149592860249812,-0.3952280219080639
159,3.5431173515304466,1.2351545025128803,1.0052410642255676,-1.2828513824299042,-1.1236826276345213
160,3.5950994953385065,1.40073785443962,1.9675974598233268,-1.4290772747932095,-0.9225263791750081
161,3.6614943469238153,0.9936720597085691,1.5664809712616585,-0.9476836683589248,-0.7552221201330944
162,3.8952182059617892,1.1232577882795347,1.387975167629167,-1.156746359337548,-0.6386150600993719
163,3.7993543918903745,0.9688771849450181,-0.69782238213462,-1.075411337619877,-1.1192986324427994
164,3.8081854152106467,1.1800601787340392,1.6118853802406519,-0.9332281863589524,-1.2201098414932192
165,3.6388691066752967,1.0118619289509958,-0.9613652797249923,-0.8895517034002802,-1.0617293719597396
166,3.6295147438230337,0.7565389971189341,-1.0035186575311248,-1.7213691677984635,-0.5133446021553533
167,3.7760538713522154,0.5521610249888672,-2.1270925099877216,-1.6718567284290529,-0.7621583189241732
168,3.843903264280858,0.5778568424868854,-1.710430781947148,-1.6900418534604231,-0.6287664519428462
169,3.7973261766170214,0.48200736955060625,-2.2140569942954142,-0.9544481942302908,-0.6328859765180757
170,3.7932257981840167,0.7946939468064526,0.41814709018166457,-1.7425086595009749,-0.790409115415742
171,3.8271310376513825,0.8688298498877115,1.7570009673162963,-1.6668147887366316,-0.6976934325397154
172,3.79886405324776,0.7888763807262831,1.1144422504084501,-1.4321989682488168,-0.5595688263432005
173,3.778175583472299,0.6644414246762056,1.0033603849843193,-1.3672861170072341,-0.13985640752195713
174,3.730157890813213,0.5145497760854351,-0.37316852596926836,-1.1076990373702476,-0.5098138015288383
175,3.847292566204342,0.5290024538791144,-2.4457174006588893,-1.4310032643011414,-0.6244314874483261
176,3.862589348468577,0.9450643237170968,2.4147422998158032,-1.50734627513362,-0.3905898187649484
177,3.629247171900557,0.5209553747355147,-1.0855743993165732,-1.2348044518462251,-0.7210163520490296
178,3.7053404777001657,0.8628710253931654,1.1898385684715065,-0.9854718683581092,-0.7494536177508602
179,3.7289841763767284,0.6802890797668959,-1.931555243966441,-1.2842831309120333,-0.9976807646976819
180,3.522587997234367,0.5319349723227054,-1.0738978909874246,-1.4398895348290168,-0.6156431827128503
181,3.814299376055204,0.8750917578290867,1.9138049552484386,-1.2158617786077492,-0.9424678847242878
182,3.7825932829629085,0.721102332419263,-0.8176180446142739,-0.6516010805944109,-1.598552011914623
183,3.9343883353414917,0.6878059723551972,-1.6905257242087712,-0.7032337224838644,-1.4211227181362984
184,3.7909319612757777,0.845215159780565,0.5375107809593641,-0.6100524951287164,-0.9810885478040183
185,3.992492575937531,0.9010428842040537,-0.5906823302567917,-0.5151531715627221,-1.4433952206223113
186,4.027705051449359,1.0486918766418796,1.4754281324219933,-0.26433465651042304,-1.5780996841404908
187,3.9326975423138926,0.846451528127377,-0.6472869261068023,-0.3516302363281299,-1.4926146945315273
188,4.053619212266777,1.1331579582370468,2.0374653648331984,-0.6737526864135228,-1.4313761254022948
189,4.204513872751444,0.8003529234499587,-1.7715304879333926,-0.4520189204548832,-1.7295900101755142
190,3.951877284317281,0.9089311992275065,-0.7196874399364837,-0.2954981183740465,-1.5612368742590164
191,3.96449709708318,0.7109142211972798,-2.3533533077066076,-0.39232180882790785,-1.8169411298678586
192,3.856807098799238,0.8162594551565195,-1.5278124202794683,0.2585695027875779,-1.80679869895526
193,3.8909009632471365,0.8185067813669794,0.23641120479409125,-0.204746525373081,-1.2873959596322968
194,4.0640118542735015,0.6862328178785595,-1.1222438889274715,-0.38653441425607526,-1.7773940968627058
195,4.137660539663724,0.44184590286175407,-1.7603499566442486,-0.1895598739696839,-1.4882488072835252
196,4.063168851627461,1.0092386945650798,2.0381168968227317,-0.1738830448185195,-1.450498986098379
197,4.016676946809678,0.8222992354601408,-0.6628903753771125,-0.2987037350358766,-2.0475486604432676
198,4.112710177906009,0.9249994500067026,-1.3838669367614198,-0.8883015012050446,-1.761794678086824
199,3.995009183328936,0.9183046379115181,-1.7582955805184797,-1.0854909081449517,-1.5737893757761598
200,4.179199459659488,0.764015584821015,-0.42935129531756616,0.05981124010785851,-2.10265340773194
201,3.9961989445997297,0.8157989981137592,-0.7249021336863957,0.32578657293950125,-1.839258547195067
202,3.765157907861493,1.1639475776399923,2.1865960370948465,0.53150676805958,-1.3360214403641968
203,3.7608269449902405,0.874730388047645,-0.5827180926679963,1.1366177356762988,-1.639279962950113
204,3.8230756102167893,0.8269099207948422,1.1713189678251574,1.0076734049486193,-1.1707751229929864
205,4.2856069490800826,0.47004986563623574,-0.3235111038912778,0.4202110652526118,-1.5154766758480263
206,3.868733100623698,0.6910141923757536,0.9895052532327696,0.34192445122340337,-1.742141210818198
207,4.129731523231918,0.8014494191929326,2.614525535998217,0.07409518872197647,-1.1693708752340506
208,3.9131970626526082,0.48117422836800294,-1.5798217464862465,0.9420346495463908,-1.3450535092369842
209,3.7668232611075787,0.5462384327587927,-1.2883454312378182,0.9207585518836633,-1.4554641664165724
210,3.7852677094315035,0.7191029507285419,1.2778164087701311,0.5586324409554445,-0.6029648515247298
211,3.920147262415414,0.6605902505085782,2.6133591761936965,1.239750515487746,-0.6534315320535347
212,4.077149554385501,0.5711475085008951,-2.7111976132362168,0.31774595072881295,-2.052614232324403
213,4.0796060062847515,0.9329175633860971,-0.3229473264340933,-0.0971858548631712,-2.0824691973180367
214,3.9794290140898507,0.7368988653541845,-1.7299713762245408,0.7843271509123314,-2.2526258757470417
215,4.024156460323803,0.7610100136926066,-0.26565047656888335,0.5384576291699775,-1.9607986894697995
