turbine,variable,lower_iqr_limit,upper_iqr_limit,values_outside_iqr_limits,99th_percentile,maximum,maximum_observation,second_largest
No.39WT,18,680.3235777,691.1104433,17,689.762085,697.8522339,1331,690.6610107
No.39WT,19,49.83999632000001,50.16000367999999,1,50.06999969,50.08000183,1252,50.06999969
No.39WT,20,7.601438529999999,34.798765169999996,1,25.881670078800003,25.89981651,23,25.89981651
No.39WT,21,17.248831745000004,32.851042745,1,28.10025597,28.10025597,1,28.10025597
No.39WT,22,2.6000161250000033,24.199957364999996,1,20.092661516400007,20.69997787,1,20.69997787
No.39WT,23,-9.367602498,17.53747663,10,14.940024836000003,19.07095337,470,18.17176628
No.39WT,24,2.7900435925,11.0198504925,1,10.185114404,10.47209644,27,10.38669777
No.39WT,25,-9.692685372500002,35.0871169675,0,21.689756318000004,21.99471855,471,21.99471855
No.39WT,26,41.853391645,87.84351920499999,1,79.5934448272,80.69753265,1,80.59745026
No.39WT,27,49.64517211500001,75.64877319499999,152,85.2580670168,88.29777527,1,87.78578186
